48.0,47.0,48.0,46.0,38.0,78.0,37.0,29.0,54.0,45.0,47.0,46.0,50.0,71.0,41.0,71.0,85.0,45.0,48.0,41.0,51.0,41.0,38.0,44.0,36.0,36.0,36.0,40.0,47.0,45.0,39.0,39.0,
50.0,48.0,59.0,48.0,62.0,37.0,44.0,35.0,53.0,44.0,35.0,42.0,54.0,40.0,71.0,80.0,32.0,32.0,41.0,64.0,50.0,140.0,113.0,58.0,41.0,37.0,39.0,42.0,33.0,42.0,54.0,38.0,
64.0,77.0,86.0,30.0,37.0,72.0,36.0,38.0,40.0,52.0,44.0,52.0,29.0,38.0,39.0,39.0,41.0,35.0,32.0,40.0,61.0,59.0,110.0,37.0,49.0,36.0,41.0,41.0,75.0,61.0,41.0,97.0,
50.0,41.0,43.0,40.0,37.0,39.0,41.0,35.0,42.0,44.0,52.0,39.0,47.0,38.0,32.0,29.0,39.0,38.0,59.0,36.0,109.0,89.0,105.0,83.0,49.0,38.0,56.0,39.0,42.0,36.0,36.0,51.0,
74.0,38.0,34.0,79.0,62.0,63.0,36.0,86.0,173.0,121.0,36.0,62.0,125.0,64.0,37.0,60.0,66.0,61.0,70.0,45.0,88.0,85.0,45.0,54.0,149.0,36.0,129.0,145.0,65.0,43.0,55.0,121.0,
99.0,70.0,128.0,151.0,49.0,72.0,87.0,103.0,142.0,95.0,132.0,129.0,227.0,49.0,59.0,40.0,38.0,58.0,87.0,57.0,74.0,59.0,54.0,49.0,51.0,96.0,80.0,54.0,36.0,73.0,58.0,36.0,
60.0,49.0,49.0,37.0,47.0,44.0,37.0,57.0,41.0,55.0,41.0,56.0,92.0,50.0,61.0,34.0,37.0,44.0,52.0,41.0,61.0,35.0,60.0,67.0,48.0,80.0,43.0,46.0,67.0,41.0,51.0,79.0,
82.0,41.0,46.0,41.0,42.0,48.0,47.0,68.0,43.0,74.0,49.0,42.0,36.0,36.0,33.0,29.0,47.0,60.0,42.0,38.0,34.0,61.0,35.0,38.0,38.0,33.0,43.0,50.0,55.0,41.0,88.0,52.0,
32.0,40.0,59.0,82.0,40.0,67.0,187.0,146.0,75.0,88.0,122.0,106.0,200.0,60.0,39.0,46.0,39.0,48.0,53.0,63.0,48.0,51.0,113.0,49.0,40.0,57.0,45.0,46.0,46.0,76.0,52.0,40.0,
41.0,38.0,50.0,39.0,39.0,68.0,50.0,31.0,40.0,37.0,43.0,38.0,38.0,43.0,78.0,53.0,60.0,58.0,56.0,64.0,72.0,46.0,48.0,73.0,42.0,41.0,55.0,56.0,52.0,42.0,49.0,53.0,
